error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.436,218,500,0.9014084507042254,0.9014084507042254,0.4969156976683964,8,71,16,16,1
0.472,236,500,0.9577464788732394,0.9577464788732394,0.5225699898304258,8,71,17,16,1
0.476,238,500,1.0140845070422535,1.0140845070422535,0.5459318954306597,8,71,18,16,1
0.516,258,500,1.0704225352112675,1.0704225352112675,0.5672645428375251,8,71,19,16,1
0.51,255,500,1.1267605633802817,1.1267605633802817,0.5867989881273311,8,71,20,16,1
0.458,229,500,1.1830985915492958,1.1830985915492958,0.6047370250975013,8,71,21,16,1
0.494,247,500,1.2394366197183098,1.2394366197183098,0.6212544734187609,8,71,22,16,1
0.0,0,500,0.0547945205479452,0.0547945205479452,5.356736370828873e-29,8,73,1,16,1
0.0,0,500,0.1095890410958904,0.1095890410958904,2.298339360412859e-08,8,73,2,16,1
0.002,1,500,0.1643835616438356,0.1643835616438356,0.0001951096413878843,8,73,3,16,1
0.014,7,500,0.2191780821917808,0.2191780821917808,0.005206865135610223,8,73,4,16,1
0.036,18,500,0.273972602739726,0.273972602739726,0.02540688649118235,8,73,5,16,1
0.098,49,500,0.3287671232876712,0.3287671232876712,0.06251394277857683,8,73,6,16,1
0.098,49,500,0.3835616438356164,0.3835616438356164,0.11036774240542885,8,73,7,16,1
0.24,120,500,0.4383561643835616,0.4383561643835616,0.16242120369599844,8,73,8,16,1
0.24,120,500,0.4931506849315068,0.4931506849315068,0.21432689040724962,8,73,9,16,1
0.322,161,500,0.547945205479452,0.547945205479452,0.2637465448297577,8,73,10,16,1
0.296,148,500,0.6027397260273972,0.6027397260273972,0.30963817677051075,8,73,11,16,1
0.35,175,500,0.6575342465753424,0.6575342465753424,0.3516899145003176,8,73,12,16,1
0.406,203,500,0.7123287671232876,0.7123287671232876,0.38996728833741723,8,73,13,16,1
0.452,226,500,0.7671232876712328,0.7671232876712328,0.42471312087569235,8,73,14,16,1
0.414,207,500,0.821917808219178,0.821917808219178,0.456239601778213,8,73,15,16,1
0.466,233,500,0.8767123287671232,0.8767123287671232,0.48487249155763656,8,73,16,16,1
